IDCNTRY;Variable;RS_HOMLIT;RS_HISCED;RS_HOMLIT.se;RS_HISCED.se;xvar;corrtype;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Chile;RS_HOMLIT;1;,270989532880911;0;,0236154053267771; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Chile;RS_HISCED;,270989532880911;1;,0236154053267771;0; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Denmark;RS_HOMLIT;1;,354615041304197;0;,0176784597387975; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Denmark;RS_HISCED;,354615041304197;1;,0176784597387975;0; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Finland;RS_HOMLIT;1;,171174666431962;0;,0213914474663505; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Finland;RS_HISCED;,171174666431962;1;,0213914474663505;0; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
France;RS_HOMLIT;1;,324558730165842;0;,0232841983690095; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
France;RS_HISCED;,324558730165842;1;,0232841983690095;0; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany;RS_HOMLIT;1;,292100489465173;0;,0268564819141749; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany;RS_HISCED;,292100489465173;1;,0268564819141749;0; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany, North-Rhine Westphalia;RS_HOMLIT;1;,263992211201468;0;,0307272217425625; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany, North-Rhine Westphalia;RS_HISCED;,263992211201468;1;,0307272217425625;0; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Italy;RS_HOMLIT;1;,404357356276959;0;,0192432250089325; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Italy;RS_HISCED;,404357356276959;1;,0192432250089325;0; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Kazakhstan;RS_HOMLIT;1;,199875628993545;0;,0229603055177499; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Kazakhstan;RS_HISCED;,199875628993545;1;,0229603055177499;0; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Korea, Republic of;RS_HOMLIT;1;,234482125000961;0;,0212932616081463; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Korea, Republic of;RS_HISCED;,234482125000961;1;,0212932616081463;0; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Luxembourg;RS_HOMLIT;1;,4123178793606;0;,012385869085086; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Luxembourg;RS_HISCED;,4123178793606;1;,012385869085086;0; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Portugal;RS_HOMLIT;1;,45291218946129;0;,0192367828078035; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Portugal;RS_HISCED;,45291218946129;1;,0192367828078035;0; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Russian Federation (Moscow);RS_HOMLIT;1;,266155458852956;0;,024843018249628; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Russian Federation (Moscow);RS_HISCED;,266155458852956;1;,024843018249628;0; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
United States;RS_HOMLIT;1;,363725768228399;0;,0153109172929314; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
United States;RS_HISCED;,363725768228399;1;,0153109172929314;0; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Uruguay;RS_HOMLIT;1;,391290978359263;0;,0307628396658392; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Uruguay;RS_HISCED;,391290978359263;1;,0307628396658392;0; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Table Average;RS_HOMLIT;1;,314467718284538;0;,00606415191885975; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Table Average;RS_HISCED;,314467718284538;1;,00606415191885975;0; RS_HOMLIT RS_HISCED;SPEARMAN;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
